Date,Open,High,Low,Close,Volume
2017-02-02 11:19:00,800.365,800.365,800.23,800.23,745
2017-02-02 11:20:00,800.41,800.43,800.3,800.33,1100
2017-02-02 11:21:00,800.67,800.67,800.22,800.33,3600
2017-02-02 11:22:00,800.6242,800.7065,800.6242,800.7065,500
2017-02-02 11:23:00,800.06,800.58,800.06,800.45,1300
2017-02-02 11:24:00,800.3487,800.3487,800.185,800.185,400
2017-02-02 11:25:00,800.41,800.42,800.185,800.185,1450
2017-02-02 11:26:00,800.44,800.49,800.11,800.11,1980
2017-02-02 11:27:00,800.8258,800.8258,800.44,800.56,6743
2017-02-02 11:28:00,800.7555,800.7555,800.44,800.44,913
2017-02-02 11:29:00,800.24,800.575,800.24,800.44,6610
2017-02-02 11:30:00,800.51,800.51,800.3,800.3,1463
2017-02-02 11:31:00,800.49,800.54,800.26,800.49,1415
2017-02-02 11:32:00,800.1653,800.5996,799.81,800.44,3929
2017-02-02 11:33:00,799.97,800.29,799.8619,800.28,4118
2017-02-02 11:34:00,799.5301,800.13,799.5301,800.02,3739
2017-02-02 11:35:00,799.89,799.89,799.54,799.55,1699
2017-02-02 11:36:00,799.91,799.91,799.8,799.85,800
2017-02-02 11:37:00,799.98,800.01,799.92,799.92,960
2017-02-02 11:38:00,799.84,799.975,799.84,799.975,300
2017-02-02 11:39:00,799.71,799.985,799.57,799.85,2480
2017-02-02 11:40:00,799.71,799.71,799.7,799.7,700
2017-02-02 11:41:00,799.4060000000001,799.69,799.36,799.55,2586
2017-02-02 11:42:00,799.5,799.59,799.32,799.33,7450
2017-02-02 11:43:00,799.53,799.7,799.46,799.46,2400
2017-02-02 11:44:00,799.45,799.7,799.45,799.55,563
2017-02-02 11:45:00,799.7022,799.7022,799.26,799.43,3582
2017-02-02 11:46:00,799.75,799.75,799.445,799.445,800
2017-02-02 11:47:00,799.74,799.74,799.56,799.5868,750
2017-02-02 11:48:00,799.5,799.8699,799.5,799.6,3219
2017-02-02 11:49:00,799.24,799.745,799.24,799.65,17604
2017-02-02 11:50:00,799.05,799.44,799.02,799.09,3040
2017-02-02 11:51:00,799.0732,799.38,798.8268,799.01,4826
2017-02-02 11:52:00,798.8251,799.207,798.8251,799.02,3200
2017-02-02 11:53:00,798.75,798.9178,798.45,798.9178,1709
2017-02-02 11:54:00,798.79,799.1,798.79,798.8414,600
2017-02-02 11:55:00,798.99,799.01,798.72,798.8,3400
2017-02-02 11:56:00,798.71,798.89,798.6,798.78,1528
2017-02-02 11:57:00,798.35,798.66,798.16,798.4,3250
2017-02-02 11:58:00,798.28,798.51,798.11,798.3,1312
2017-02-02 11:59:00,798.12,798.32,798.0,798.16,1906
2017-02-02 12:00:00,798.35,798.35,797.7481,797.7481,2475
2017-02-02 12:01:00,798.3,798.3,798.3,798.3,100
2017-02-02 12:02:00,797.8710000000001,798.1125,797.65,798.0,3000
2017-02-02 12:03:00,797.51,797.645,797.51,797.6,1782
2017-02-02 12:04:00,797.575,797.595,797.5,797.52,3405
2017-02-02 12:05:00,797.33,797.71,797.33,797.55,5477
2017-02-02 12:06:00,797.55,797.7699,797.24,797.317,1735
2017-02-02 12:07:00,797.655,797.655,797.3810000000001,797.58,1561
2017-02-02 12:08:00,797.2325,797.68,797.2325,797.67,4139
2017-02-02 12:09:00,797.23,797.426,797.2,797.29,700
2017-02-02 12:10:00,797.1354,797.15,796.7610000000001,797.05,3148
2017-02-02 12:11:00,797.34,797.42,797.0,797.0847,2452
2017-02-02 12:12:00,797.3,797.47,797.3,797.35,1100
2017-02-02 12:13:00,797.21,797.44,797.21,797.44,1100
2017-02-02 12:14:00,797.15,797.24,797.04,797.1804,766
2017-02-02 12:15:00,797.44,797.44,797.25,797.25,1100
2017-02-02 12:16:00,796.94,797.17,796.9,797.17,4948
2017-02-02 12:17:00,797.05,797.18,796.8,796.99,2460
2017-02-02 12:18:00,796.87,797.0,796.87,797.0,293
2017-02-02 12:19:00,796.775,797.29,796.775,797.28,1682
2017-02-02 12:20:00,796.775,797.26,796.775,796.775,400
2017-02-02 12:21:00,796.8,797.17,796.8,796.9817,900
2017-02-02 12:22:00,796.81,797.16,796.81,797.0117,4414
2017-02-02 12:23:00,797.005,797.15,796.985,797.15,400
2017-02-02 12:24:00,797.18,797.27,796.9336,797.21,2250
2017-02-02 12:25:00,797.46,797.46,797.0,797.32,1800
2017-02-02 12:26:00,797.07,797.47,797.07,797.46,850
2017-02-02 12:27:00,797.165,797.22,797.08,797.08,550
2017-02-02 12:28:00,797.175,797.175,797.165,797.165,400
2017-02-02 12:29:00,797.155,797.18,797.04,797.1,1700
2017-02-02 12:30:00,797.145,797.1575,797.0,797.1575,800
2017-02-02 12:31:00,796.93,797.18,796.93,797.18,1100
2017-02-02 12:32:00,797.08,797.08,797.08,797.08,100
2017-02-02 12:33:00,797.5,797.52,796.98,797.23,5833
2017-02-02 12:34:00,797.5,797.72,797.485,797.505,2050
2017-02-02 12:35:00,797.63,797.76,797.33,797.45,3620
2017-02-02 12:36:00,797.915,797.915,797.53,797.79,5337
2017-02-02 12:37:00,797.79,798.029,797.79,798.029,2700
2017-02-02 12:38:00,797.585,797.8,797.585,797.79,3117
